"Taxon","Final Brain Weight (g)","Final Body Weight (g)"
"Alouatta_caraya",52.719883040809,5596.65333333333
"Alouatta_palliata",50.9079800933333,6358.99666666667
"Alouatta_pigra",52.9655,8940
"Alouatta_seniculus",56.5701296252625,6247.35974358974
"Aotus_azarai",21.4126523333333,1073.19
"Aotus_lemurinus",16.7819583174436,869.98
"Aotus_trivirgatus",17.2133241572139,870.8
"Arctocebus_calabarensis",7.1705634301914,239.336666666667
"Ateles_belzebuth",118.575873729688,6409.14
"Ateles_fusciceps",114.587424076923,8033.97
"Ateles_geoffroyi",108.535000631108,6711.8
"Ateles_paniscus",105.941034482759,7789.52777777778
"Avahi_laniger",10.25135534375,1300
"Avahi_occidentalis",8.2362,795.5
"Brachyteles_arachnoides",120.1,9247.5
"Hoolock_hoolock",114.66484995399,6787
"Cacajao_calvus",73.3,3293.02
"Callicebus_moloch",17.725,883.805238095238
"Callicebus_torquatus",20.55927496,1152.5
"Callimico_goeldii",11.7518869230769,538.5
"Callithrix_argentata",8.04580533173333,361.123333333333
"Callithrix_geoffroyi",8.64285714285714,342
"Callithrix_jacchus",7.64361360744828,272.705
"Callithrix_penicillata",7.554774420941,323.49
"Callithrix_pygmaea",4.452087064,125.813333333333
"Cebus_albifrons",64.7148030985603,2535.56
"Cebus_apella",68.7471450792724,2669.21
"Cebus_capucinus",73.7861567177288,2798.10777777778
"Cebus_olivaceus",72.962887224709,2646.88
"Cercocebus_agilis",118.3199845,7552.81
"Cercocebus_torquatus_atys",99.8059285714286,7770.62
"Cercocebus_galeritus",102.63695512,7837.5
"Cercocebus_torquatus",111.433793901565,8239.80111111111
"Chlorocebus_pygerythrus",64.7766144369851,4060
"Cercopithecus_ascanius",63.6153353811663,4156.74666666667
"Cercopithecus_campbelli",58.981959923757,3775.91
"Cercopithecus_cephus",67.9250755012346,3516.62666666667
"Cercopithecus_diana",64.8622333333334,4519.63666666667
"Cercopithecus_lhoesti",76,5003.735
"Cercopithecus_mitis",73.959439375623,6335.43
"Cercopithecus_mona",65.69504887026,4466.72333333333
"Cercopithecus_neglectus",67.5429958956997,5589.84
"Cercopithecus_nictitans",73.6855,5178.13666666667
"Cercopithecus_pogonias",63.2679444444444,3588.09
"Cheirogaleus_major",6.119796595,430.34
"Cheirogaleus_medius",2.91229090909091,188.88
"Chiropotes_satanas",50.07019857,2955.135
"Chlorocebus_aethiops",63.9237879839603,4214.49666666667
"Colobus_angolensis",71.5639115382872,8807.655
"Piliocolobus_badius",65.967766664735,8105
"Colobus_guereza",77.3707549832284,10052.3766666667
"Colobus_polykomos",76.020494162028,9118.54111111111
"Colobus_satanas",80.2,10750
"Procolobus_verus",54.5287112365603,4025
"Daubentonia_madagascariensis",46.3447252570832,2603.12333333333
"Erythrocebus_patas",97.87219042,7858.15
"Eulemur_coronatus",21.39439752,2099.925
"Eulemur_fulvus_fulvus",24.7862489230813,2332.33
"Eulemur_macaco_macaco",24.6342072363636,2336.81
"Eulemur_mongoz",21.4515448658824,1810.37666666667
"Eulemur_rubriventer",26.9240991461359,1726.8
"Euoticus_elegantulus",5.733931588,303.493333333333
"Galago_alleni",6.1,250
"Galago_moholi",3.8386365699284,183.48
"Galago_senegalensis",4.12968991674852,210.411111111111
"Galagoides_demidoff",3.38,62.2355555555555
"Galagoides_zanzibaricus",3.64118517,147.35
"Gorilla_beringei",508.9591388,136212.595
"Gorilla_gorilla_gorilla",507.246626865672,121326.996666667
"Hapalemur_griseus",14.6002444,1021.33333333333
"Hylobates_agilis",90.647625,5251.36
"Hylobates_klossii",92.04337338,5861.145
"Hylobates_lar",105.276396962201,5462.87
"Hylobates_moloch",106.708,6034.405
"Hylobates_muelleri",90.8927958022063,5837.405
"Hylobates_pileatus",87.7338518518518,5638.685
"Indri_indri",36.3086099222222,10500
"Lagothrix_lagotricha",99.6883333333333,7647.89666666667
"Lemur_catta",23.2455797384615,2380.49333333333
"Leontopithecus_chrysomelas",12.2618585010341,613.65
"Leontopithecus_rosalia",13.1158676814099,623.51
"Lepilemur_mustelinus",9.90406676,625
"Lepilemur_ruficaudatus",8.4434,750
"Lophocebus_albigena",97.4890934778488,7932.23666666667
"Lophocebus_aterrimus",108.905007213333,6655.185
"Loris_tardigradus",6.05152171,269.806666666667
"Macaca_arctoides",101.057876646297,7877.68
"Macaca_fascicularis",66.5298408092728,4644.10666666667
"Macaca_fuscata",98.5926666666667,9498.88
"Macaca_mulatta",88.9414355925488,6471.73
"Macaca_nemestrina",109.871143419099,7244.59333333333
"Macaca_nigra",91.456,7662.195
"Macaca_radiata",79.4664734882552,5877.495
"Macaca_silenus",82.88,6935.125
"Macaca_sinica",73.1418926105845,4512.995
"Macaca_sylvanus",97.364503065028,11173.265
"Mandrillus_leucophaeus",185.962,16251.65
"Mandrillus_sphinx",162.40872456,19842.53
"Microcebus_murinus",1.72084733133333,63.9333333333333
"Microcebus_rufus",1.77819212666667,48.39
"Miopithecus_talapoin",37.7,1236.95333333333
"Mirza_coquereli",6.004526759,315.233333333333
"Nasalis_larvatus",96.2114026481032,13441.825
"Nomascus_concolor",131.7,6631.735
"Nycticebus_coucang",10.7286070801118,838.35
"Nycticebus_pygmaeus",7.53364822228571,413.773333333333
"Otolemur_crassicaudatus",12.201495011938,1367.20333333333
"Otolemur_garnettii",11.2390413688402,1055.585
"Pan_paniscus",346.237386666667,37522.475
"Pan_troglodytes_troglodytes",376.125460728369,48328
"Papio_anubis",171.797537413185,17209.52
"Papio_cynocephalus",169.407947746212,14290.7166666667
"Papio_hamadryas",154.4376,12002.36
"Papio_papio",165.3,17811.025
"Papio_ursinus",195.43347216714,20014.72
"Perodicticus_potto",12.845604154205,1124.49222222222
"Pithecia_pithecia",33.3519772330992,1573.595
"Pongo_abelii",409.519844771438,48223.06
"Pongo_pygmaeus",382.456508465717,55279.145
"Presbytis_comata",61.124,6460
"Presbytis_melalophos",66.905043289106,5326.37333333333
"Propithecus_diadema",41.2320967956006,7500
"Propithecus_verreauxi",27.0494513866667,3389.42
"Pygathrix_nemaeus",91.9563589555315,9250.36666666667
